invoice_no,customer_id,category,quantity,price,payment_method,invoice_date,shopping_mall
I153842,1739,Food & Beverage,3,15.69,Credit Card,14/09/2022,Forum Istanbul
I615452,1365,Shoes,1,600.17,Debit Card,6/3/2022,Metrocity
I908600,2313,Cosmetics,4,162.64,Credit Card,23/02/2023,Forum Istanbul
I708279,4600,Cosmetics,3,121.98,Credit Card,25/06/2021,Emaar Square Mall
I328691,2111,Clothing,2,600.16,Debit Card,31/07/2022,Metrocity
I423782,739,Cosmetics,2,81.32,Debit Card,8/4/2021,Mall of Istanbul
I123315,2151,Clothing,2,600.16,Debit Card,1/4/2021,Zorlu Center
I182578,2277,Shoes,4,2400.68,Cash,13/02/2022,Kanyon
I403818,1929,Books,5,75.75,Cash,15/06/2022,Viaport Outlet
I508712,1468,Toys,3,107.52,Credit Card,19/07/2022,Mall of Istanbul
I959992,1481,Food & Beverage,3,15.69,Cash,1/7/2022,Metrocity
I279688,1361,Clothing,1,300.08,Credit Card,19/06/2021,Cevahir AVM
I300847,838,Toys,5,179.2,Credit Card,11/1/2022,Istinye Park
I170966,1379,Food & Beverage,5,26.15,Credit Card,5/12/2022,Istinye Park
I230221,2422,Clothing,1,300.08,Cash,21/04/2021,Metropol AVM
I317354,776,Clothing,1,300.08,Cash,10/11/2021,Metropol AVM
I155404,466,Toys,4,143.36,Cash,19/09/2022,Metrocity
I151181,372,Clothing,2,600.16,Debit Card,18/01/2021,Emaar Square Mall
I144046,766,Shoes,1,600.17,Credit Card,21/04/2022,Kanyon
I959386,730,Shoes,1,600.17,Credit Card,25/11/2022,Mall of Istanbul
I737965,1226,Clothing,5,1500.4,Cash,9/11/2022,Kanyon
I194017,2582,Technology,5,5250.0,Cash,3/1/2022,Kanyon
I252777,1026,Clothing,2,600.16,Cash,19/02/2022,Zorlu Center
